Resume ID,Resume Text,Education,Experience Years,Skills,Job Role,Category,resume_text_clean,skills_clean
R001216,"Education: Esthetics School Experience: 3 years Skills: Teamwork, C++, Facial Treatment, Technical Skills, Skincare, Customer Service, Product Knowledge, Communication",Esthetics School,3,Teamwork|C++|Facial Treatment|Technical Skills|Skincare|Customer Service|Product Knowledge|Communication,Esthetician,Beauty & Wellness,education esthetics school experience 3 years skills teamwork c facial treatment technical skills skincare customer service product knowledge communication,"['teamwork', 'c++', 'facial treatment', 'technical skills', 'skincare', 'customer service', 'product knowledge', 'communication']"
R001217,"Education: Beauty School Experience: 0 years Skills: Hair Styling, iOS, Technical Skills, Communication, Adobe Creative Suite, Precision, Figma, Python",Beauty School,0,Hair Styling|iOS|Technical Skills|Communication|Adobe Creative Suite|Precision|Figma|Python|Customer Service|Terraform|Creativity,Hairstylist,Beauty & Wellness,education beauty school experience 0 years skills hair styling ios technical skills communication adobe creative suite precision figma python,"['hair styling', 'ios', 'technical skills', 'communication', 'adobe creative suite', 'precision', 'figma', 'python', 'customer service', 'terraform', 'creativity']"
R001218,"Education: IT Certification Experience: 3 years Skills: iOS, Security, Troubleshooting, Statistics, Windows Server, Networking, Active Directory, HTML",IT Certification,3,iOS|Security|Troubleshooting|Statistics|Windows Server|Networking|Active Directory|HTML|Linux,Systems Administrator,Technology,education it certification experience 3 years skills ios security troubleshooting statistics windows server networking active directory html,"['ios', 'security', 'troubleshooting', 'statistics', 'windows server', 'networking', 'active directory', 'html', 'linux']"
R001219,"Education: Surgical Specialty Training Experience: 7 years Skills: Problem Solving, Surgical Expertise, Kanban, PyTorch, Patient Care, MySQL, Oracle, Research",Surgical Specialty Training,7,Problem Solving|Surgical Expertise|Kanban|PyTorch|Patient Care|MySQL|Oracle|Research|Precision|Technical Skills,Surgeon,Healthcare,education surgical specialty training experience 7 years skills problem solving surgical expertise kanban pytorch patient care mysql oracle research,"['problem solving', 'surgical expertise', 'kanban', 'pytorch', 'patient care', 'mysql', 'oracle', 'research', 'precision', 'technical skills']"
R001220,"Education: Broadcasting School Experience: 0 years Skills: Improvisation, Penetration Testing, Azure, Personality, Communication, Interviewing, Public Speaking, Problem Solving",Broadcasting School,0,Improvisation|Penetration Testing|Azure|Personality|Communication|Interviewing|Public Speaking|Problem Solving|Compliance,Radio Host,Media & Entertainment,education broadcasting school experience 0 years skills improvisation penetration testing azure personality communication interviewing public speaking problem solving,"['improvisation', 'penetration testing', 'azure', 'personality', 'communication', 'interviewing', 'public speaking', 'problem solving', 'compliance']"
R001221,"Education: Bachelor's in Business Experience: 7 years Skills: Team Management, Go, Negotiation, Business Development, Network Security, Communication, Decision Making, Business Acumen",Bachelor's in Business,7,Team Management|Go|Negotiation|Business Development|Network Security|Communication|Decision Making|Business Acumen|Sales Leadership|Real Estate Knowledge,Real Estate Broker,Construction & Real Estate,education bachelor s in business experience 7 years skills team management go negotiation business development network security communication decision making business acumen,"['team management', 'go', 'negotiation', 'business development', 'network security', 'communication', 'decision making', 'business acumen', 'sales leadership', 'real estate knowledge']"
R001222,"Education: Bachelor's in Computer Science Experience: 0 years Skills: Mobile Development, Java Interop, REST API, Coroutines, Problem Solving, TypeScript, Kotlin, PostgreSQL",Bachelor's in Computer Science,0,Mobile Development|Java Interop|REST API|Coroutines|Problem Solving|TypeScript|Kotlin|PostgreSQL|Android Development,Kotlin Developer,Technology,education bachelor s in computer science experience 0 years skills mobile development java interop rest api coroutines problem solving typescript kotlin postgresql,"['mobile development', 'java interop', 'rest api', 'coroutines', 'problem solving', 'typescript', 'kotlin', 'postgresql', 'android development']"
R001223,"Education: Master's in Data Management Experience: 4 years Skills: Regulatory Compliance, Problem Solving, Clinical Data, Security Architecture, Statistical Analysis, Attention to Detail, Compliance, Database Management",Master's in Data Management,4,Regulatory Compliance|Problem Solving|Clinical Data|Security Architecture|Statistical Analysis|Attention to Detail|Compliance|Database Management,Clinical Data Manager,Healthcare,education master s in data management experience 4 years skills regulatory compliance problem solving clinical data security architecture statistical analysis attention to detail compliance database management,"['regulatory compliance', 'problem solving', 'clinical data', 'security architecture', 'statistical analysis', 'attention to detail', 'compliance', 'database management']"
R001224,"Education: Master's in AI Experience: 5 years Skills: Firewalls, Python, Research, TensorFlow, Deep Learning, PyTorch, Sales, Azure",Master's in AI,5,Firewalls|Python|Research|TensorFlow|Deep Learning|PyTorch|Sales|Azure|Statistics|Query Optimization,Machine Learning Engineer,Technology,education master s in ai experience 5 years skills firewalls python research tensorflow deep learning pytorch sales azure,"['firewalls', 'python', 'research', 'tensorflow', 'deep learning', 'pytorch', 'sales', 'azure', 'statistics', 'query optimization']"
R001225,"Education: Certification Experience: 5 years Skills: Strategic Planning, Problem Solving, Documentation, Jupyter, Safety, Equipment Knowledge, Troubleshooting, Vehicle Mechanics",Certification,5,Strategic Planning|Problem Solving|Documentation|Jupyter|Safety|Equipment Knowledge|Troubleshooting|Vehicle Mechanics|Attention to Detail|Figma,Mechanic,Skilled Trades,education certification experience 5 years skills strategic planning problem solving documentation jupyter safety equipment knowledge troubleshooting vehicle mechanics,"['strategic planning', 'problem solving', 'documentation', 'jupyter', 'safety', 'equipment knowledge', 'troubleshooting', 'vehicle mechanics', 'attention to detail', 'figma']"
R001226,"Education: Bachelor's in Civil Engineering Experience: 5 years Skills: Azure, Structural Analysis, CAD, Building Codes, Project Management, Compliance, Technical Design, AutoCAD",Bachelor's in Civil Engineering,5,Azure|Structural Analysis|CAD|Building Codes|Project Management|Compliance|Technical Design|AutoCAD,Civil Engineer,Engineering & Manufacturing,education bachelor s in civil engineering experience 5 years skills azure structural analysis cad building codes project management compliance technical design autocad,"['azure', 'structural analysis', 'cad', 'building codes', 'project management', 'compliance', 'technical design', 'autocad']"
R001227,"Education: Medical Degree Experience: 5 years Skills: Research, Cassandra, Market Research, Technical Skills, Patient Care, Scala, SEO, Surgical Expertise",Medical Degree,5,Research|Cassandra|Market Research|Technical Skills|Patient Care|Scala|SEO|Surgical Expertise|Precision|Problem Solving,Surgeon,Healthcare,education medical degree experience 5 years skills research cassandra market research technical skills patient care scala seo surgical expertise,"['research', 'cassandra', 'market research', 'technical skills', 'patient care', 'scala', 'seo', 'surgical expertise', 'precision', 'problem solving']"
R001228,"Education: High School Experience: 3 years Skills: Terraform, Communication, Computer Skills, Friendliness, Documentation, Organization, Customer Service, Phone Skills",High School,3,Terraform|Communication|Computer Skills|Friendliness|Documentation|Organization|Customer Service|Phone Skills|Cassandra,Receptionist,Administration,education high school experience 3 years skills terraform communication computer skills friendliness documentation organization customer service phone skills,"['terraform', 'communication', 'computer skills', 'friendliness', 'documentation', 'organization', 'customer service', 'phone skills', 'cassandra']"
R001229,"Education: Master's in Healthcare Administration Experience: 2 years Skills: Strategic Planning, Mobile UI/UX, Kotlin, Healthcare Management, Business Development, Budget Control, Communication, Leadership",Master's in Healthcare Administration,2,Strategic Planning|Mobile UI/UX|Kotlin|Healthcare Management|Business Development|Budget Control|Communication|Leadership|Compliance,Healthcare Administrator,Healthcare,education master s in healthcare administration experience 2 years skills strategic planning mobile ui ux kotlin healthcare management business development budget control communication leadership,"['strategic planning', 'mobile ui/ux', 'kotlin', 'healthcare management', 'business development', 'budget control', 'communication', 'leadership', 'compliance']"
R001230,"Education: Tax Law Specialization Experience: 6 years Skills: Tax Law, GraphQL, Communication, Scala, Writing, Business Acumen, Planning, Budget Management",Tax Law Specialization,6,Tax Law|GraphQL|Communication|Scala|Writing|Business Acumen|Planning|Budget Management|Analytical Skills|Legal Research,Tax Attorney,Legal Services,education tax law specialization experience 6 years skills tax law graphql communication scala writing business acumen planning budget management,"['tax law', 'graphql', 'communication', 'scala', 'writing', 'business acumen', 'planning', 'budget management', 'analytical skills', 'legal research']"
R001231,"Education: Diesel Certification Experience: 3 years Skills: Kanban, Diesel Engines, Technical Writing, Problem Solving, Equipment Knowledge, Technical Skills, Troubleshooting, Node.js",Diesel Certification,3,Kanban|Diesel Engines|Technical Writing|Problem Solving|Equipment Knowledge|Technical Skills|Troubleshooting|Node.js|Safety,Diesel Mechanic,Skilled Trades,education diesel certification experience 3 years skills kanban diesel engines technical writing problem solving equipment knowledge technical skills troubleshooting node js,"['kanban', 'diesel engines', 'technical writing', 'problem solving', 'equipment knowledge', 'technical skills', 'troubleshooting', 'node.js', 'safety']"
R001232,"Education: Bachelor's in Environmental Science Experience: 3 years Skills: Problem Solving, Environmental Knowledge, React Native, Public Safety, Market Research, Ruby, Communication, Python",Bachelor's in Environmental Science,3,Problem Solving|Environmental Knowledge|React Native|Public Safety|Market Research|Ruby|Communication|Python|Conservation|Outdoor Skills,Park Ranger,Conservation,education bachelor s in environmental science experience 3 years skills problem solving environmental knowledge react native public safety market research ruby communication python,"['problem solving', 'environmental knowledge', 'react native', 'public safety', 'market research', 'ruby', 'communication', 'python', 'conservation', 'outdoor skills']"
R001233,"Education: High School Experience: 2 years Skills: Judgment, Problem Solving, Communication, Confluence, Physical Fitness, Law Enforcement, App Testing, Safety",High School,2,Judgment|Problem Solving|Communication|Confluence|Physical Fitness|Law Enforcement|App Testing|Safety|Project Management,Police Officer,Law Enforcement,education high school experience 2 years skills judgment problem solving communication confluence physical fitness law enforcement app testing safety,"['judgment', 'problem solving', 'communication', 'confluence', 'physical fitness', 'law enforcement', 'app testing', 'safety', 'project management']"
R001234,"Education: Bachelor's in Accounting Experience: 3 years Skills: Excel, Financial Analysis, Tax Knowledge, QuickBooks, Accounting Principles, Web Accessibility, Business Development, GAAP",Bachelor's in Accounting,3,Excel|Financial Analysis|Tax Knowledge|QuickBooks|Accounting Principles|Web Accessibility|Business Development|GAAP|TypeScript,Accountant,Finance & Accounting,education bachelor s in accounting experience 3 years skills excel financial analysis tax knowledge quickbooks accounting principles web accessibility business development gaap,"['excel', 'financial analysis', 'tax knowledge', 'quickbooks', 'accounting principles', 'web accessibility', 'business development', 'gaap', 'typescript']"
R001235,"Education: Bachelor's in Business Experience: 6 years Skills: Data Analysis, Django, Process Management, Swift, Leadership, Compliance, Problem Solving, Adobe Creative Suite",Bachelor's in Business,6,Data Analysis|Django|Process Management|Swift|Leadership|Compliance|Problem Solving|Adobe Creative Suite|Adaptability|Kubernetes|HR Systems,HR Operations Manager,Human Resources,education bachelor s in business experience 6 years skills data analysis django process management swift leadership compliance problem solving adobe creative suite,"['data analysis', 'django', 'process management', 'swift', 'leadership', 'compliance', 'problem solving', 'adobe creative suite', 'adaptability', 'kubernetes', 'hr systems']"
R001236,"Education: Bachelor's in Economics Experience: 2 years Skills: Valuation, App Testing, Risk Analysis, Jenkins, Excel, Python, Financial Modeling, Statistics",Bachelor's in Economics,2,Valuation|App Testing|Risk Analysis|Jenkins|Excel|Python|Financial Modeling|Statistics,Financial Analyst,Finance & Accounting,education bachelor s in economics experience 2 years skills valuation app testing risk analysis jenkins excel python financial modeling statistics,"['valuation', 'app testing', 'risk analysis', 'jenkins', 'excel', 'python', 'financial modeling', 'statistics']"
R001237,"Education: Master's in Microbiology Experience: 4 years Skills: Laboratory Work, Problem Solving, Data Analysis, Microbiology, Swift, Creativity, Precision, Kanban",Master's in Microbiology,4,Laboratory Work|Problem Solving|Data Analysis|Microbiology|Swift|Creativity|Precision|Kanban|Research,Microbiologist,Science & Research,education master s in microbiology experience 4 years skills laboratory work problem solving data analysis microbiology swift creativity precision kanban,"['laboratory work', 'problem solving', 'data analysis', 'microbiology', 'swift', 'creativity', 'precision', 'kanban', 'research']"
R001238,"Education: Bachelor's in Engineering Experience: 5 years Skills: Figma, Quality Control, Equipment Maintenance, Safety, Staff Management, Pandas, Production Planning, JavaScript",Bachelor's in Engineering,5,Figma|Quality Control|Equipment Maintenance|Safety|Staff Management|Pandas|Production Planning|JavaScript|Problem Solving|Jenkins,Production Manager,Operations & Supply Chain,education bachelor s in engineering experience 5 years skills figma quality control equipment maintenance safety staff management pandas production planning javascript,"['figma', 'quality control', 'equipment maintenance', 'safety', 'staff management', 'pandas', 'production planning', 'javascript', 'problem solving', 'jenkins']"
R001239,"Education: SEO Certification Experience: 1 years Skills: Keyword Research, Technical SEO, Scrum, SEO, Content Optimization, Analytics, Backlink Strategy, Angular",SEO Certification,1,Keyword Research|Technical SEO|Scrum|SEO|Content Optimization|Analytics|Backlink Strategy|Angular|CSS,SEO Specialist,Marketing & Sales,education seo certification experience 1 years skills keyword research technical seo scrum seo content optimization analytics backlink strategy angular,"['keyword research', 'technical seo', 'scrum', 'seo', 'content optimization', 'analytics', 'backlink strategy', 'angular', 'css']"
R001240,"Education: Bachelor's in Business Experience: 3 years Skills: Confluence, Procurement Strategy, Cost Analysis, Scrum, Responsive Design, Vendor Management, Negotiation, Compliance",Bachelor's in Business,3,Confluence|Procurement Strategy|Cost Analysis|Scrum|Responsive Design|Vendor Management|Negotiation|Compliance|AWS|Strategic Sourcing|JavaScript,Procurement Manager,Operations & Supply Chain,education bachelor s in business experience 3 years skills confluence procurement strategy cost analysis scrum responsive design vendor management negotiation compliance,"['confluence', 'procurement strategy', 'cost analysis', 'scrum', 'responsive design', 'vendor management', 'negotiation', 'compliance', 'aws', 'strategic sourcing', 'javascript']"
R001241,"Education: High School Experience: 2 years Skills: Customer Service, Responsibility, TensorFlow, Driving, Route Knowledge, Problem Solving, MongoDB, Ruby",High School,2,Customer Service|Responsibility|TensorFlow|Driving|Route Knowledge|Problem Solving|MongoDB|Ruby|Safety|CSS,Bus Driver,Transportation,education high school experience 2 years skills customer service responsibility tensorflow driving route knowledge problem solving mongodb ruby,"['customer service', 'responsibility', 'tensorflow', 'driving', 'route knowledge', 'problem solving', 'mongodb', 'ruby', 'safety', 'css']"
R001242,"Education: Associate in Audio Engineering Experience: 2 years Skills: Equipment Knowledge, Technical Skills, C#, Precision, Problem Solving, Sound Design, Data Analysis, Audio Engineering",Associate in Audio Engineering,2,Equipment Knowledge|Technical Skills|C#|Precision|Problem Solving|Sound Design|Data Analysis|Audio Engineering,Sound Engineer,Entertainment & Media,education associate in audio engineering experience 2 years skills equipment knowledge technical skills c precision problem solving sound design data analysis audio engineering,"['equipment knowledge', 'technical skills', 'c#', 'precision', 'problem solving', 'sound design', 'data analysis', 'audio engineering']"
R001243,"Education: Bachelor's in Cybersecurity Experience: 6 years Skills: CSS, Firewalls, Security Protocols, Penetration Testing, Risk Analysis, Encryption, GCP, React",Bachelor's in Cybersecurity,6,CSS|Firewalls|Security Protocols|Penetration Testing|Risk Analysis|Encryption|GCP|React|Networking|Tableau,Cybersecurity Specialist,Technology,education bachelor s in cybersecurity experience 6 years skills css firewalls security protocols penetration testing risk analysis encryption gcp react,"['css', 'firewalls', 'security protocols', 'penetration testing', 'risk analysis', 'encryption', 'gcp', 'react', 'networking', 'tableau']"
R001244,"Education: Bachelor's in Computer Science Experience: 2 years Skills: Shell Scripting, Pub/Sub, Data Structures, Caching, Teamwork, Performance Optimization, Scalability, Redis",Bachelor's in Computer Science,2,Shell Scripting|Pub/Sub|Data Structures|Caching|Teamwork|Performance Optimization|Scalability|Redis,Redis Developer,Technology,education bachelor s in computer science experience 2 years skills shell scripting pub sub data structures caching teamwork performance optimization scalability redis,"['shell scripting', 'pub/sub', 'data structures', 'caching', 'teamwork', 'performance optimization', 'scalability', 'redis']"
R001245,"Education: Master's in Microbiology Experience: 5 years Skills: Data Analysis, Precision, GCP, Laboratory Work, Documentation, Microbiology, Problem Solving, Research",Master's in Microbiology,5,Data Analysis|Precision|GCP|Laboratory Work|Documentation|Microbiology|Problem Solving|Research,Microbiologist,Science & Research,education master s in microbiology experience 5 years skills data analysis precision gcp laboratory work documentation microbiology problem solving research,"['data analysis', 'precision', 'gcp', 'laboratory work', 'documentation', 'microbiology', 'problem solving', 'research']"
R001246,"Education: Design Certification Experience: 1 years Skills: Creativity, Visual Communication, Java, Branding, Attention to Detail, Design Software, HTML, Adobe Creative Suite",Design Certification,1,Creativity|Visual Communication|Java|Branding|Attention to Detail|Design Software|HTML|Adobe Creative Suite,Graphic Designer,Creative & Design,education design certification experience 1 years skills creativity visual communication java branding attention to detail design software html adobe creative suite,"['creativity', 'visual communication', 'java', 'branding', 'attention to detail', 'design software', 'html', 'adobe creative suite']"
R001247,"Education: MBA Experience: 10 years Skills: Vision, Business Development, Communication, Django, Database Design, Strategic Leadership, Decision Making, Department Management",MBA,10,Vision|Business Development|Communication|Django|Database Design|Strategic Leadership|Decision Making|Department Management,Vice President,Private Sector Management,education mba experience 10 years skills vision business development communication django database design strategic leadership decision making department management,"['vision', 'business development', 'communication', 'django', 'database design', 'strategic leadership', 'decision making', 'department management']"
R001248,"Education: Technical Writing Certification Experience: 4 years Skills: Organization, Communication, TensorFlow, Documentation, Terraform, Technical Writing, API Documentation, Problem Solving",Technical Writing Certification,4,Organization|Communication|TensorFlow|Documentation|Terraform|Technical Writing|API Documentation|Problem Solving|Data Analysis,Technical Writer,Technology,education technical writing certification experience 4 years skills organization communication tensorflow documentation terraform technical writing api documentation problem solving,"['organization', 'communication', 'tensorflow', 'documentation', 'terraform', 'technical writing', 'api documentation', 'problem solving', 'data analysis']"
R001249,"Education: Bachelor's in Computer Science Experience: 3 years Skills: Python, Smart Contracts, Java, Angular, Prototyping, Swift, Problem Solving, Blockchain Technology",Bachelor's in Computer Science,3,Python|Smart Contracts|Java|Angular|Prototyping|Swift|Problem Solving|Blockchain Technology|Database Design|Cryptocurrency|Solidity,Blockchain Developer,Technology,education bachelor s in computer science experience 3 years skills python smart contracts java angular prototyping swift problem solving blockchain technology,"['python', 'smart contracts', 'java', 'angular', 'prototyping', 'swift', 'problem solving', 'blockchain technology', 'database design', 'cryptocurrency', 'solidity']"
R001250,"Education: Master's in Computer Science Experience: 9 years Skills: Enterprise Architecture, Leadership, Vision, Prototyping, Technical Expertise, Strategic Design, Swift, Communication",Master's in Computer Science,9,Enterprise Architecture|Leadership|Vision|Prototyping|Technical Expertise|Strategic Design|Swift|Communication|TensorFlow|Kanban,Enterprise Architect,Technology,education master s in computer science experience 9 years skills enterprise architecture leadership vision prototyping technical expertise strategic design swift communication,"['enterprise architecture', 'leadership', 'vision', 'prototyping', 'technical expertise', 'strategic design', 'swift', 'communication', 'tensorflow', 'kanban']"
R001251,"Education: Patent Bar License Experience: 6 years Skills: Patent Law, Technical Knowledge, Research, Perl, Communication, SEO, TensorFlow, Figma",Patent Bar License,6,Patent Law|Technical Knowledge|Research|Perl|Communication|SEO|TensorFlow|Figma|Graphic Design|Writing|Legal Expertise,Patent Attorney,Legal Services,education patent bar license experience 6 years skills patent law technical knowledge research perl communication seo tensorflow figma,"['patent law', 'technical knowledge', 'research', 'perl', 'communication', 'seo', 'tensorflow', 'figma', 'graphic design', 'writing', 'legal expertise']"
R001252,"Education: Welding Certification Experience: 4 years Skills: TensorFlow, Precision, Safety, Kanban, Negotiation, Technical Knowledge, Welding, React",Welding Certification,4,TensorFlow|Precision|Safety|Kanban|Negotiation|Technical Knowledge|Welding|React|Physical Stamina|Problem Solving,Welder,Skilled Trades,education welding certification experience 4 years skills tensorflow precision safety kanban negotiation technical knowledge welding react,"['tensorflow', 'precision', 'safety', 'kanban', 'negotiation', 'technical knowledge', 'welding', 'react', 'physical stamina', 'problem solving']"
R001253,"Education: High School Experience: 3 years Skills: Equipment Operation, Safety, Sustainability, Business Management, Problem Solving, NumPy, Farming, Technical Writing",High School,3,Equipment Operation|Safety|Sustainability|Business Management|Problem Solving|NumPy|Farming|Technical Writing|PostgreSQL|Time Management,Farmer,Agriculture,education high school experience 3 years skills equipment operation safety sustainability business management problem solving numpy farming technical writing,"['equipment operation', 'safety', 'sustainability', 'business management', 'problem solving', 'numpy', 'farming', 'technical writing', 'postgresql', 'time management']"
R001254,"Education: Master's in Computer Science Experience: 6 years Skills: Java, Sales, Architecture Patterns, Microservices, Scalability, System Design, Swift, Leadership",Master's in Computer Science,6,Java|Sales|Architecture Patterns|Microservices|Scalability|System Design|Swift|Leadership|Project Management|Adobe Creative Suite|Multiple Languages,Software Architect,Technology,education master s in computer science experience 6 years skills java sales architecture patterns microservices scalability system design swift leadership,"['java', 'sales', 'architecture patterns', 'microservices', 'scalability', 'system design', 'swift', 'leadership', 'project management', 'adobe creative suite', 'multiple languages']"
R001255,"Education: Master's or PhD in Psychology Experience: 3 years Skills: Critical Thinking, Research, TensorFlow, Serverless, Counseling, Empathy, Vue.js, Patient Communication",Master's or PhD in Psychology,3,Critical Thinking|Research|TensorFlow|Serverless|Counseling|Empathy|Vue.js|Patient Communication|C#|Psychological Assessment,Psychologist,Healthcare,education master s or phd in psychology experience 3 years skills critical thinking research tensorflow serverless counseling empathy vue js patient communication,"['critical thinking', 'research', 'tensorflow', 'serverless', 'counseling', 'empathy', 'vue.js', 'patient communication', 'c#', 'psychological assessment']"
R001256,"Education: Associate in Audio Engineering Experience: 1 years Skills: Equipment Knowledge, Kotlin, Technical Skills, Audio Engineering, Precision, Kubernetes, Sound Design, Problem Solving",Associate in Audio Engineering,1,Equipment Knowledge|Kotlin|Technical Skills|Audio Engineering|Precision|Kubernetes|Sound Design|Problem Solving,Sound Engineer,Entertainment & Media,education associate in audio engineering experience 1 years skills equipment knowledge kotlin technical skills audio engineering precision kubernetes sound design problem solving,"['equipment knowledge', 'kotlin', 'technical skills', 'audio engineering', 'precision', 'kubernetes', 'sound design', 'problem solving']"
R001257,"Education: Bachelor's in Computer Science Experience: 1 years Skills: Distributed Computing, Big Data, Wireframing, Python, REST API, Statistics, Apache Spark, Encryption",Bachelor's in Computer Science,1,Distributed Computing|Big Data|Wireframing|Python|REST API|Statistics|Apache Spark|Encryption|Scala|AWS|SQL,Spark Developer,Data & Analytics,education bachelor s in computer science experience 1 years skills distributed computing big data wireframing python rest api statistics apache spark encryption,"['distributed computing', 'big data', 'wireframing', 'python', 'rest api', 'statistics', 'apache spark', 'encryption', 'scala', 'aws', 'sql']"
R001258,"Education: Bachelor's in Computer Science Experience: 6 years Skills: Pandas, Scripting, Kubernetes, CI/CD, Linux, Docker, AWS, Scrum",Bachelor's in Computer Science,6,Pandas|Scripting|Kubernetes|CI/CD|Linux|Docker|AWS|Scrum|Microservices|Node.js,DevOps Engineer,Technology,education bachelor s in computer science experience 6 years skills pandas scripting kubernetes ci cd linux docker aws scrum,"['pandas', 'scripting', 'kubernetes', 'ci/cd', 'linux', 'docker', 'aws', 'scrum', 'microservices', 'node.js']"
R001259,"Education: Project Management Certification Experience: 4 years Skills: Problem Solving, Budget Control, Jupyter, Statistics, Leadership, Prototyping, Encryption, Communication",Project Management Certification,4,Problem Solving|Budget Control|Jupyter|Statistics|Leadership|Prototyping|Encryption|Communication|Oracle|Project Management|IT Knowledge,IT Project Manager,Technology,education project management certification experience 4 years skills problem solving budget control jupyter statistics leadership prototyping encryption communication,"['problem solving', 'budget control', 'jupyter', 'statistics', 'leadership', 'prototyping', 'encryption', 'communication', 'oracle', 'project management', 'it knowledge']"
R001260,"Education: Bachelor's in Laboratory Science Experience: 2 years Skills: PHP, Leadership, Scientific Knowledge, Safety, Equipment Maintenance, React, Quality Control, Laboratory Management",Bachelor's in Laboratory Science,2,PHP|Leadership|Scientific Knowledge|Safety|Equipment Maintenance|React|Quality Control|Laboratory Management,Laboratory Manager,Research & Development,education bachelor s in laboratory science experience 2 years skills php leadership scientific knowledge safety equipment maintenance react quality control laboratory management,"['php', 'leadership', 'scientific knowledge', 'safety', 'equipment maintenance', 'react', 'quality control', 'laboratory management']"
R001261,"Education: Bachelor's in IT Experience: 4 years Skills: Troubleshooting, HTML/CSS, Docker, Website Management, CMS, Market Research, Database Management, Prototyping",Bachelor's in IT,4,Troubleshooting|HTML/CSS|Docker|Website Management|CMS|Market Research|Database Management|Prototyping|Project Management|Server Administration,Website Administrator,Technology,education bachelor s in it experience 4 years skills troubleshooting html css docker website management cms market research database management prototyping,"['troubleshooting', 'html/css', 'docker', 'website management', 'cms', 'market research', 'database management', 'prototyping', 'project management', 'server administration']"
R001262,"Education: Bachelor's in Aerospace Engineering Experience: 1 years Skills: Design, MATLAB, Jenkins, CAD, Structural Analysis, Compliance, Aerodynamics, Physics",Bachelor's in Aerospace Engineering,1,Design|MATLAB|Jenkins|CAD|Structural Analysis|Compliance|Aerodynamics|Physics|Decision Making,Aerospace Engineer,Engineering & Manufacturing,education bachelor s in aerospace engineering experience 1 years skills design matlab jenkins cad structural analysis compliance aerodynamics physics,"['design', 'matlab', 'jenkins', 'cad', 'structural analysis', 'compliance', 'aerodynamics', 'physics', 'decision making']"
R001263,"Education: Broadcasting Experience: 1 years Skills: Quick Thinking, Public Speaking, Technical Writing, Communication, Pronunciation, Angular, Professionalism, Voice Skills",Broadcasting,1,Quick Thinking|Public Speaking|Technical Writing|Communication|Pronunciation|Angular|Professionalism|Voice Skills,Announcer,Media & Entertainment,education broadcasting experience 1 years skills quick thinking public speaking technical writing communication pronunciation angular professionalism voice skills,"['quick thinking', 'public speaking', 'technical writing', 'communication', 'pronunciation', 'angular', 'professionalism', 'voice skills']"
R001264,"Education: High School Experience: 2 years Skills: C#, Communication, Problem Solving, Serverless, Attention to Detail, Crane Operation, Precision, Safety",High School,2,C#|Communication|Problem Solving|Serverless|Attention to Detail|Crane Operation|Precision|Safety,Crane Operator,Transportation,education high school experience 2 years skills c communication problem solving serverless attention to detail crane operation precision safety,"['c#', 'communication', 'problem solving', 'serverless', 'attention to detail', 'crane operation', 'precision', 'safety']"
R001265,"Education: Bachelor's in IT Experience: 3 years Skills: Data Integration, Communication, Data Quality, Talend, Java, ETL, Swift, SQL",Bachelor's in IT,3,Data Integration|Communication|Data Quality|Talend|Java|ETL|Swift|SQL,Talend Developer,Data & Analytics,education bachelor s in it experience 3 years skills data integration communication data quality talend java etl swift sql,"['data integration', 'communication', 'data quality', 'talend', 'java', 'etl', 'swift', 'sql']"
R001266,"Education: Bachelor's in IT Experience: 3 years Skills: Security Protocols, GraphQL, Dashboard Development, Analytics, Machine Learning, Looker, SQL, Data Visualization",Bachelor's in IT,3,Security Protocols|GraphQL|Dashboard Development|Analytics|Machine Learning|Looker|SQL|Data Visualization|LookML|Documentation,Looker Developer,Data & Analytics,education bachelor s in it experience 3 years skills security protocols graphql dashboard development analytics machine learning looker sql data visualization,"['security protocols', 'graphql', 'dashboard development', 'analytics', 'machine learning', 'looker', 'sql', 'data visualization', 'lookml', 'documentation']"
R001267,"Education: Security Certification Experience: 6 years Skills: Compliance, DevOps, Container Security, Agile, Negotiation, Linux, Security, CI/CD",Security Certification,6,Compliance|DevOps|Container Security|Agile|Negotiation|Linux|Security|CI/CD|Mobile UI/UX,DevSecOps Engineer,Technology,education security certification experience 6 years skills compliance devops container security agile negotiation linux security ci cd,"['compliance', 'devops', 'container security', 'agile', 'negotiation', 'linux', 'security', 'ci/cd', 'mobile ui/ux']"
R001268,"Education: Customer Service Certification Experience: 0 years Skills: Problem Solving, Attention to Detail, Patience, Customer Service, Documentation, Product Knowledge, Communication, C#",Customer Service Certification,0,Problem Solving|Attention to Detail|Patience|Customer Service|Documentation|Product Knowledge|Communication|C#|Graphic Design|Mobile UI/UX|Web Accessibility,Customer Service Representative,Sales & Customer Service,education customer service certification experience 0 years skills problem solving attention to detail patience customer service documentation product knowledge communication c,"['problem solving', 'attention to detail', 'patience', 'customer service', 'documentation', 'product knowledge', 'communication', 'c#', 'graphic design', 'mobile ui/ux', 'web accessibility']"
R001269,"Education: Bachelor's in IT Experience: 6 years Skills: Problem Solving, Project Management, Rust, Change Control, C++, Communication, Release Management, Documentation",Bachelor's in IT,6,Problem Solving|Project Management|Rust|Change Control|C++|Communication|Release Management|Documentation|Database Design|Teamwork,Release Manager,Technology,education bachelor s in it experience 6 years skills problem solving project management rust change control c communication release management documentation,"['problem solving', 'project management', 'rust', 'change control', 'c++', 'communication', 'release management', 'documentation', 'database design', 'teamwork']"
